"baseMean","log2FoldChange","stat","pvalue","padj","B","symbol"
4.613,3.873,6.542,5.547e-09,1.961e-06,10.33,"PI3"
14.54,3.822,7.599,5.254e-11,8.285e-08,14.76,"CHI3L1"
5.056,3.518,7.354,1.565e-10,1.783e-07,13.72,"MYBPH"
10.14,3.492,4.554,1.89e-05,0.0005606,2.639,"LTF"
4.179,3.48,4.643,1.348e-05,0.000445,2.956,"SAA2"
5.722,3.309,4.276,5.283e-05,0.001106,1.677,"SAA1"
3.871,3.216,7.093,4.973e-10,3.398e-07,12.63,"GALNT5"
9.075,3.211,8.179,3.929e-12,2.014e-08,17.23,"ABCC3"
4.032,3.181,5.319,9.481e-07,6.817e-05,5.457,"MARCO"
4.641,2.93,4.718,1.012e-05,0.0003611,3.225,"MMP7"
3.882,2.866,5.369,7.73e-07,5.98e-05,5.65,"IL2RA"
6.771,2.829,4.744,9.168e-06,0.0003368,3.318,"CA9"
7.049,2.714,16.04,1.467e-26,3.007e-22,48.15,"NUAK2"
7.539,2.707,6.734,2.407e-09,1.015e-06,11.13,"LIF"
3.223,2.672,5.896,8.76e-08,1.403e-05,7.712,"WDR63"
4.815,2.666,5.819,1.211e-07,1.749e-05,7.405,"CXCL3"
6.563,2.657,3.842,0.0002452,0.003223,0.2496,"PLA2G2A"
6.042,2.56,4.489,2.405e-05,0.0006575,2.413,"IBSP"
3.235,2.529,4.381,3.597e-05,0.0008458,2.036,"WDR38"
3.773,2.525,4.402,3.325e-05,0.0008104,2.11,"TEKT1"
2.828,2.513,4.395,3.416e-05,0.0008248,2.084,"FAM183A"
4.391,2.512,4.267,5.465e-05,0.001135,1.645,"C7orf57"
4.595,2.501,4.141,8.597e-05,0.001558,1.223,"SCNN1B"
6.93,2.486,5.595,3.068e-07,3.336e-05,6.524,"FCGR2B"
9.06,2.47,5.156,1.824e-06,0.0001116,4.839,"F13A1"
4.613,2.467,4.362,3.852e-05,0.0008764,1.972,"C2orf39"
2.711,2.465,4.456,2.725e-05,0.0007097,2.296,"CSF3"
2.209,2.453,7.015,7.016e-10,4.358e-07,12.3,"TNFSF14"
4.208,2.415,6.14,3.116e-08,6.776e-06,8.693,"CCDC135"
6.524,2.413,4.481,2.48e-05,0.0006663,2.384,"HP"
10.55,2.393,6.167,2.778e-08,6.472e-06,8.802,"CD163"
8.741,2.375,6.839,1.518e-09,7.589e-07,11.56,"LOX"
4.057,2.363,5.451,5.537e-07,4.859e-05,5.966,"C13orf26"
8.278,2.361,6.024,5.106e-08,9.604e-06,8.224,"PTX3"
3.195,2.356,5.495,4.626e-07,4.474e-05,6.136,"LRRC15"
11.01,2.345,6.762,2.133e-09,9.507e-07,11.24,"SERPINE1"
6.325,2.332,5.108,2.21e-06,0.0001245,4.658,"TREM1"
6.818,2.331,8.369,1.669e-12,1.515e-08,18.04,"FAM65C"
6.688,2.328,5.332,8.996e-07,6.611e-05,5.507,"COL8A1"
8.875,2.313,6.315,1.479e-08,3.99e-06,9.401,"RARRES2"
6.739,2.31,4.392,3.448e-05,0.0008283,2.076,"SLPI"
3.852,2.302,5.454,5.483e-07,4.859e-05,5.975,"CCDC19"
2.111,2.288,3.887,0.00021,0.002906,0.3932,"FAM81B"
2.455,2.285,4.186,7.328e-05,0.001396,1.372,"CXCL6"
6.672,2.284,4.344,4.127e-05,0.0009207,1.908,"DMRTA2"
9.734,2.262,4.908,4.855e-06,0.0002127,3.916,"SPOCD1"
4.157,2.234,4.916,4.705e-06,0.0002087,3.945,"ABCA13"
4.181,2.219,4.854,5.985e-06,0.0002464,3.719,"ALDH3A1"
4.13,2.216,4.563,1.823e-05,0.0005474,2.672,"IL1R2"
4.838,2.203,4.475,2.533e-05,0.000676,2.364,"CXCL5"
10.14,2.188,7.192,3.206e-10,2.355e-07,13.04,"SOCS3"
6.761,2.176,7.57,5.981e-11,8.758e-08,14.64,"CLCF1"
8.07,2.159,5.939,7.3e-08,1.21e-05,7.885,"CFB"
7.135,2.151,5.226,1.376e-06,9.188e-05,5.105,"SLC47A2"
